Investment amount: ,100000.00
Date,Earning
2021-01-25,[1] + $1535.56
2021-03-10,[2] + $2347.72
2021-04-13,[3] + $3053.71
2021-05-13,[4] + $4575.50
2021-08-19,[5] + $6649.29
2021-10-06,[6] + $9562.29
Invest + Earning,109562.29
