Investment amount: ,100000.00
Date,Earning
2021-04-09,[1] + $1293.03
2021-05-06,[2] + $2616.39
2021-08-02,[3] + $2998.88
2021-08-16,[4] + $3682.55
2021-08-27,[5] + $5461.27
2021-09-15,[6] + $6522.79
2021-09-24,[7] + $7797.78
Invest + Earning,107797.78
