Investment amount: ,100000.00
Date,Earning
2021-04-09,[1] + $1123.60
2021-04-19,[2] + $1995.79
2021-05-06,[3] + $3367.62
2021-06-14,[4] + $4075.22
2021-06-21,[5] + $5208.38
2021-09-15,[6] + $6430.17
2021-09-24,[7] + $7699.79
Invest + Earning,107699.79
