Investment amount: ,100000.00
Date,Earning
2020-11-16,[1] + $1223.97
2021-03-17,[2] + $3282.89
2021-04-09,[3] + $5392.49
2021-07-08,[4] + $7933.61
2021-08-03,[5] + $8758.12
2021-08-05,[6] + $9398.77
Invest + Earning,109398.78
