Company:,BBY,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
Enter Date5:,2009-10-01,Enter price:,37.43,Exit price:,37.009998,Profit rate:,1.1220999198503785 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.641749337454206 %,
	,	,	,	,Total cumulative:,,Profit rate:,12.632688362760295 %,
Exit 5th day:,2009-09-25
		    to
		2009-10-01,Enter price:,37.91,Exit price:,37.009998,Profit rate:,2.3740490635716 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2010-06-21,	,	,	,	,	,	,
Enter Date1:,2010-06-22,Enter price:,37.02,Exit price:,36.610001,Profit rate:,1.1075067531064458 %,
Enter Date2:,2010-06-23,Enter price:,36.720001,Exit price:,36.630001,Profit rate:,0.2450980325409125 %,
Enter Date3:,2010-06-24,Enter price:,36.68,Exit price:,35.740002,Profit rate:,2.5626990185387206 %,
Enter Date4:,2010-06-25,Enter price:,35.830002,Exit price:,35.16,Profit rate:,1.8699468674325048 %,
Enter Date5:,2010-06-28,Enter price:,35.279999,Exit price:,35.349998,Profit rate:,-0.19840986956944873 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,5.586840802049135 %,
	,	,	,	,Total cumulative:,,Profit rate:,18.21952916480943 %,
Exit 5th day:,2010-06-22
		    to
		2010-06-28,Enter price:,37.02,Exit price:,35.349998,Profit rate:,4.511080497028643 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2010-07-06,	,	,	,	,	,	,
Enter Date1:,2010-07-07,Enter price:,33.099998,Exit price:,34.43,Profit rate:,-4.018133173301099 %,
Enter Date2:,2010-07-08,Enter price:,34.860001,Exit price:,34.400002,Profit rate:,1.3195610636958854 %,
Enter Date3:,2010-07-09,Enter price:,33.66,Exit price:,34.369999,Profit rate:,-2.109325609031502 %,
Enter Date4:,2010-07-12,Enter price:,34.200001,Exit price:,34.130001,Profit rate:,0.20467835658835296 %,
Enter Date5:,2010-07-13,Enter price:,34.610001,Exit price:,35.419998,Profit rate:,-2.3403553209952315 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-6.943574683043595 %,
	,	,	,	,Total cumulative:,,Profit rate:,11.275954481765835 %,
Exit 5th day:,2010-07-07
		    to
		2010-07-13,Enter price:,33.099998,Exit price:,35.419998,Profit rate:,-7.0090638676171535 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2010-07-27,	,	,	,	,	,	,
Enter Date1:,2010-07-28,Enter price:,35.450001,Exit price:,35.139999,Profit rate:,0.8744767031177156 %,
