Investment amount: ,100000.00
Date,Earning
2020-11-30,[1] + $1366.63
2021-02-24,[2] + $2486.95
2021-04-01,[3] + $2942.45
2021-04-23,[4] + $3761.99
2021-05-20,[5] + $8784.39
2021-08-19,[6] + $13770.68
Invest + Earning,113770.68
