Investment amount: ,100000.00
Date,Earning
2021-03-03,[1] + $1543.56
2021-03-22,[2] + $3163.52
2021-03-25,[3] + $5332.39
2021-06-30,[4] + $6392.02
2021-07-08,[5] + $8677.70
2021-09-29,[6] + $9821.84
2021-10-08,[7] + $10913.79
Invest + Earning,110913.80
