Company:,ATVI,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.6662771852281097 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.2555794972429708 %,
Exit 5th day:,2009-09-22
		    to
		2009-09-28,Enter price:,12.39,Exit price:,12.41,Profit rate:,0.1614205004035478 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2010-07-12,	,	,	,	,	,	,
Enter Date1:,2010-07-13,Enter price:,11.22,Exit price:,11.41,Profit rate:,1.6934046345811007 %,
Enter Date2:,2010-07-14,Enter price:,11.43,Exit price:,11.3,Profit rate:,-1.1373578302712075 %,
Enter Date3:,2010-07-15,Enter price:,11.32,Exit price:,11.33,Profit rate:,0.0883392226148391 %,
Enter Date4:,2010-07-16,Enter price:,11.36,Exit price:,11.12,Profit rate:,-2.1126760563380302 %,
Enter Date5:,2010-07-19,Enter price:,11.18,Exit price:,11.38,Profit rate:,1.7889087656529614 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.3206187362396633 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.576198233482634 %,
Exit 5th day:,2010-07-13
		    to
		2010-07-19,Enter price:,11.22,Exit price:,11.38,Profit rate:,1.4260249554367213 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2010-08-18,	,	,	,	,	,	,
Enter Date1:,2010-08-19,Enter price:,10.98,Exit price:,11.01,Profit rate:,0.27322404371584114 %,
Enter Date2:,2010-08-20,Enter price:,10.98,Exit price:,11.06,Profit rate:,0.7285974499089259 %,
Enter Date3:,2010-08-23,Enter price:,11.09,Exit price:,10.89,Profit rate:,-1.8034265103696963 %,
Enter Date4:,2010-08-24,Enter price:,10.8,Exit price:,10.75,Profit rate:,-0.4629629629629695 %,
Enter Date5:,2010-08-25,Enter price:,10.66,Exit price:,10.99,Profit rate:,3.095684803001877 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.8311168232939783 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.4073150567766124 %,
Exit 5th day:,2010-08-19
		    to
		2010-08-25,Enter price:,10.98,Exit price:,10.99,Profit rate:,0.09107468123861373 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2010-11-11,	,	,	,	,	,	,
Enter Date1:,2010-11-12,Enter price:,11.77,Exit price:,11.5,Profit rate:,-2.2939677145284585 %,
Enter Date2:,2010-11-15,Enter price:,11.6,Exit price:,11.58,Profit rate:,-0.1724137931034446 %,
Enter Date3:,2010-11-16,Enter price:,11.5,Exit price:,11.48,Profit rate:,-0.17391304347825717 %,
Enter Date4:,2010-11-17,Enter price:,11.52,Exit price:,11.62,Profit rate:,0.8680555555555525 %,
Enter Date5:,2010-11-18,Enter price:,11.67,Exit price:,11.72,Profit rate:,0.4284490145672726 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.343789980987335 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.0635250757892774 %,
Exit 5th day:,2010-11-12
		    to
		2010-11-18,Enter price:,11.77,Exit price:,11.72,Profit rate:,-0.4248088360237803 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,10,,,,,,,
Found Date: ,2010-12-27,	,	,	,	,	,	,
Enter Date1:,2010-12-28,Enter price:,12.54,Exit price:,12.47,Profit rate:,-0.5582137161084411 %,
Enter Date2:,2010-12-29,Enter price:,12.53,Exit price:,12.55,Profit rate:,0.1596169193934665 %,
Enter Date3:,2010-12-30,Enter price:,12.55,Exit price:,12.57,Profit rate:,0.15936254980079342 %,
Enter Date4:,2010-12-31,Enter price:,12.57,Exit price:,12.44,Profit rate:,-1.034208432776458 %,
Enter Date5:,2011-01-03,Enter price:,12.57,Exit price:,12.52,Profit rate:,-0.39777247414479483 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.6712151538354338 %,
	,	,	,	,Total cumulative:,,Profit rate:,0.3923099219538435 %,
Exit 5th day:,2010-12-28
		    to
		2011-01-03,Enter price:,12.54,Exit price:,12.52,Profit rate:,-0.15948963317384032 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,11,,,,,,,
Found Date: ,2011-03-23,	,	,	,	,	,	,
Enter Date1:,2011-03-24,Enter price:,10.86,Exit price:,10.96,Profit rate:,0.9208103130755195 %,
Enter Date2:,2011-03-25,Enter price:,11.04,Exit price:,10.98,Profit rate:,-0.5434782608695536 %,
Enter Date3:,2011-03-28,Enter price:,10.98,Exit price:,10.97,Profit rate:,-0.09107468123861373 %,
Enter Date4:,2011-03-29,Enter price:,10.97,Exit price:,10.96,Profit rate:,-0.09115770282588684 %,
Enter Date5:,2011-03-30,Enter price:,11.05,Exit price:,10.97,Profit rate:,-0.7239819004524893 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.528882232311024 %,
	,	,	,	,Total cumulative:,,Profit rate:,-0.13657231035718054 %,
Exit 5th day:,2011-03-24
		    to
		2011-03-30,Enter price:,10.86,Exit price:,10.97,Profit rate:,1.0128913443830683 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,12,,,,,,,
Found Date: ,2011-05-10,	,	,	,	,	,	,
Enter Date1:,2011-05-11,Enter price:,11.65,Exit price:,11.54,Profit rate:,-0.9442060085837013 %,
Enter Date2:,2011-05-12,Enter price:,11.55,Exit price:,11.7,Profit rate:,1.2987012987012863 %,
Enter Date3:,2011-05-13,Enter price:,11.69,Exit price:,11.51,Profit rate:,-1.539777587681777 %,
Enter Date4:,2011-05-16,Enter price:,11.5,Exit price:,11.29,Profit rate:,-1.8260869565217466 %,
Enter Date5:,2011-05-17,Enter price:,11.29,Exit price:,11.36,Profit rate:,0.6200177147918537 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.3913515392940843 %,
	,	,	,	,Total cumulative:,,Profit rate:,-2.527923849651265 %,
Exit 5th day:,2011-05-11
		    to
		2011-05-17,Enter price:,11.65,Exit price:,11.36,Profit rate:,-2.489270386266102 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,13,,,,,,,
Found Date: ,2011-07-08,	,	,	,	,	,	,
Enter Date1:,2011-07-11,Enter price:,11.97,Exit price:,11.85,Profit rate:,-1.0025062656641688 %,
Enter Date2:,2011-07-12,Enter price:,11.85,Exit price:,11.83,Profit rate:,-0.1687763713080133 %,
Enter Date3:,2011-07-13,Enter price:,11.9,Exit price:,11.9,Profit rate:,0.0 %,
Enter Date4:,2011-07-14,Enter price:,11.89,Exit price:,11.84,Profit rate:,-0.42052144659378227 %,
Enter Date5:,2011-07-15,Enter price:,11.87,Exit price:,11.91,Profit rate:,0.3369839932603279 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.2548200903056363 %,
	,	,	,	,Total cumulative:,,Profit rate:,-3.782743939956901 %,
Exit 5th day:,2011-07-11
		    to
		2011-07-15,Enter price:,11.97,Exit price:,11.91,Profit rate:,-0.5012531328320844 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,14,,,,,,,
Found Date: ,2011-08-26,	,	,	,	,	,	,
Enter Date1:,2011-08-29,Enter price:,11.39,Exit price:,11.61,Profit rate:,1.9315188762071893 %,
Enter Date2:,2011-08-30,Enter price:,11.55,Exit price:,11.82,Profit rate:,2.337662337662334 %,
Enter Date3:,2011-08-31,Enter price:,11.9,Exit price:,11.85,Profit rate:,-0.4201680672268967 %,
Enter Date4:,2011-09-01,Enter price:,11.87,Exit price:,11.57,Profit rate:,-2.527379949452392 %,
Enter Date5:,2011-09-02,Enter price:,11.4,Exit price:,11.33,Profit rate:,-0.6140350877193007 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.7075981094709339 %,
	,	,	,	,Total cumulative:,,Profit rate:,-3.075145830485967 %,
Exit 5th day:,2011-08-29
		    to
		2011-09-02,Enter price:,11.39,Exit price:,11.33,Profit rate:,-0.5267778753292405 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,15,,,,,,,
Found Date: ,2011-09-06,	,	,	,	,	,	,
Enter Date1:,2011-09-07,Enter price:,11.66,Exit price:,11.77,Profit rate:,0.9433962264150895 %,
Enter Date2:,2011-09-08,Enter price:,11.74,Exit price:,11.59,Profit rate:,-1.2776831345826265 %,
Enter Date3:,2011-09-09,Enter price:,11.52,Exit price:,11.42,Profit rate:,-0.8680555555555525 %,
Enter Date4:,2011-09-12,Enter price:,11.3,Exit price:,11.49,Profit rate:,1.6814159292035353 %,
Enter Date5:,2011-09-13,Enter price:,11.51,Exit price:,11.77,Profit rate:,2.258905299739355 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.737978765219801 %,
	,	,	,	,Total cumulative:,,Profit rate:,-0.33716706526616624 %,
Exit 5th day:,2011-09-07
		    to
		2011-09-13,Enter price:,11.66,Exit price:,11.77,Profit rate:,0.9433962264150895 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,16,,,,,,,
Found Date: ,2011-09-23,	,	,	,	,	,	,
Enter Date1:,2011-09-26,Enter price:,11.75,Exit price:,12.08,Profit rate:,2.8085106382978733 %,
Enter Date2:,2011-09-27,Enter price:,12.22,Exit price:,12.18,Profit rate:,-0.3273322422258668 %,
Enter Date3:,2011-09-28,Enter price:,12.24,Exit price:,12.03,Profit rate:,-1.715686274509811 %,
Enter Date4:,2011-09-29,Enter price:,12.22,Exit price:,11.98,Profit rate:,-1.9639934533551573 %,
Enter Date5:,2011-09-30,Enter price:,11.82,Exit price:,11.9,Profit rate:,0.6768189509306266 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.521682380862335 %,
	,	,	,	,Total cumulative:,,Profit rate:,-0.8588494461285012 %,
Exit 5th day:,2011-09-26
		    to
		2011-09-30,Enter price:,11.75,Exit price:,11.9,Profit rate:,1.276595744680854 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,17,,,,,,,
Found Date: ,2011-10-04,	,	,	,	,	,	,
Enter Date1:,2011-10-05,Enter price:,12.11,Exit price:,12.15,Profit rate:,0.33030553261767903 %,
Enter Date2:,2011-10-06,Enter price:,12.15,Exit price:,12.57,Profit rate:,3.456790123456789 %,
Enter Date3:,2011-10-07,Enter price:,12.6,Exit price:,12.52,Profit rate:,-0.6349206349206356 %,
Enter Date4:,2011-10-10,Enter price:,12.64,Exit price:,12.97,Profit rate:,2.6107594936708867 %,
Enter Date5:,2011-10-11,Enter price:,12.94,Exit price:,12.93,Profit rate:,-0.07727975270478969 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,5.685654762119929 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.826805315991428 %,
Exit 5th day:,2011-10-05
		    to
		2011-10-11,Enter price:,12.11,Exit price:,12.93,Profit rate:,6.771263418662265 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,18,,,,,,,
Found Date: ,2011-11-16,	,	,	,	,	,	,
Enter Date1:,2011-11-17,Enter price:,12.23,Exit price:,12.13,Profit rate:,-0.8176614881439054 %,
Enter Date2:,2011-11-18,Enter price:,12.14,Exit price:,12.05,Profit rate:,-0.7413509060955507 %,
Enter Date3:,2011-11-21,Enter price:,11.87,Exit price:,11.88,Profit rate:,0.08424599831509322 %,
