Company:,ATVI,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
	,	,	,	,Cumulative for 5 days:,,Profit rate:,8.618726234933714 %,
	,	,	,	,Total cumulative:,,Profit rate:,13.00191986598588 %,
Exit 5th day:,2009-10-22
		    to
		2009-10-28,Enter price:,12.3,Exit price:,11.39,Profit rate:,7.398373983739838 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2009-10-23,	,	,	,	,	,	,
Enter Date1:,2009-10-26,Enter price:,12.2,Exit price:,12.04,Profit rate:,1.3114754098360668 %,
Enter Date2:,2009-10-27,Enter price:,12.05,Exit price:,11.69,Profit rate:,2.987551867219927 %,
Enter Date3:,2009-10-28,Enter price:,11.71,Exit price:,11.39,Profit rate:,2.7327070879590116 %,
Enter Date4:,2009-10-29,Enter price:,11.14,Exit price:,11.09,Profit rate:,0.4488330341113169 %,
Enter Date5:,2009-10-30,Enter price:,11.17,Exit price:,10.83,Profit rate:,3.0438675022381365 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,10.524434901364458 %,
	,	,	,	,Total cumulative:,,Profit rate:,23.526354767350337 %,
Exit 5th day:,2009-10-26
		    to
		2009-10-30,Enter price:,12.2,Exit price:,10.83,Profit rate:,11.229508196721305 %,
,,Win:,5,Lose:,0,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2009-10-30,	,	,	,	,	,	,
Enter Date1:,2009-11-02,Enter price:,10.81,Exit price:,10.37,Profit rate:,4.070305272895479 %,
Enter Date2:,2009-11-03,Enter price:,10.33,Exit price:,10.62,Profit rate:,-2.807357212003864 %,
Enter Date3:,2009-11-04,Enter price:,10.7,Exit price:,10.68,Profit rate:,0.1869158878504633 %,
Enter Date4:,2009-11-05,Enter price:,10.94,Exit price:,10.87,Profit rate:,0.6398537477148106 %,
Enter Date5:,2009-11-06,Enter price:,11.3,Exit price:,11.25,Profit rate:,0.44247787610620093 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.53219557256309 %,
	,	,	,	,Total cumulative:,,Profit rate:,26.058550339913428 %,
Exit 5th day:,2009-11-02
		    to
		2009-11-06,Enter price:,10.81,Exit price:,11.25,Profit rate:,-4.070305272895462 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2009-11-10,	,	,	,	,	,	,
