Company: ,Adobe Inc. 
Date,Open,High,Low,Close,Prediction,Earning
2020-10-19,507.750000,507.750000,493.200012,495.200012,N/A	,0.000000
2020-10-20,495.250000,500.170013,491.910004,494.579987,N/A	,0.000000
2020-10-21,492.049988,499.809998,490.570007,495.959991,N/A	,0.000000
2020-10-22,496.720001,496.859985,479.399994,483.600006,N/A	,0.000000
2020-10-23,486.410004,488.510010,479.510010,488.500000,N/A	,0.000000
2020-10-26,480.880005,488.779999,470.130005,475.200012,N/A	,0.000000
2020-10-27,479.779999,481.890015,473.470001,478.559998,N/A	,0.000000
2020-10-28,469.170013,470.970001,455.880005,456.970001,N/A	,0.000000
2020-10-29,459.320007,464.730011,457.279999,461.109985,N/A	,0.000000
2020-10-30,458.320007,459.500000,442.510010,447.100006,N/A	,0.000000
2020-11-02,451.000000,456.190002,438.940002,444.940002,N/A	,0.000000
2020-11-03,448.989990,457.839996,445.670013,454.019989,N/A	,0.000000
2020-11-04,477.929993,494.940002,474.470001,487.230011,N/A	,0.000000
2020-11-05,499.269989,502.529999,489.799988,496.470001,N/A	,0.000000
2020-11-06,494.950012,498.720001,483.000000,494.630005,N/A	,0.000000
2020-11-09,494.700012,499.410004,470.760010,471.140015,N/A	,0.000000
2020-11-10,466.720001,468.010010,446.000000,452.000000,N/A	,0.000000
2020-11-11,458.489990,470.119995,457.500000,467.750000,N/A	,0.000000
2020-11-12,473.489990,474.929993,461.149994,462.579987,N/A	,0.000000
2020-11-13,467.450012,470.600006,459.000000,469.339996,N/A	,0.000000
2020-11-16,460.429993,469.529999,458.250000,460.950012,N/A	,0.000000
2020-11-17,461.660004,469.910004,460.000000,467.950012,N/A	,0.000000
2020-11-18,466.709991,467.899994,459.260010,459.470001,N/A	,0.000000
2020-11-19,460.000000,471.040009,459.260010,466.410004,N/A	,0.000000
2020-11-20,465.160004,470.000000,462.359985,462.920013,N/A	,0.000000
2020-11-23,464.630005,467.000000,456.170013,460.609985,N/A	,0.000000
2020-11-24,461.410004,464.489990,456.679993,462.700012,N/A	,0.000000
2020-11-25,466.290009,472.529999,464.850006,470.079987,N/A	,0.000000
2020-11-27,476.899994,482.410004,474.859985,477.029999,N/A	,0.000000
2020-11-30,480.000000,480.859985,469.200012,478.470001,N/A	,0.000000
2020-12-01,482.010010,482.010010,471.630005,479.149994,N/A	,0.000000
2020-12-02,475.670013,481.320007,470.119995,481.260010,N/A	,0.000000
2020-12-03,482.209991,492.809998,481.500000,484.279999,N/A	,0.000000
2020-12-04,485.670013,491.390015,484.359985,486.000000,N/A	,0.000000
2020-12-07,487.000000,499.290009,487.000000,492.250000,N/A	,0.000000
2020-12-08,492.290009,496.040009,486.200012,495.279999,N/A	,0.000000
2020-12-09,496.029999,497.000000,479.260010,483.739990,N/A	,0.000000
2020-12-10,483.739990,488.290009,470.950012,476.869995,N/A	,0.000000
2020-12-11,475.980011,478.890015,468.820007,475.910004,N/A	,0.000000
2020-12-14,475.609985,488.410004,475.500000,486.420013,N/A	,0.000000
2020-12-15,489.049988,489.500000,480.529999,482.640015,N/A	,0.000000
2020-12-16,485.000000,491.500000,484.109985,489.899994,N/A	,0.000000
2020-12-17,493.000000,496.989990,490.630005,495.359985,N/A	,0.000000
2020-12-18,497.609985,504.070007,493.570007,502.950012,N/A	,0.000000
2020-12-21,498.049988,502.000000,491.500000,498.390015,N/A	,0.000000
2020-12-22,498.359985,506.920013,495.829987,504.170013,N/A	,0.000000
2020-12-23,505.130005,505.459991,496.589996,496.910004,N/A	,0.000000
2020-12-24,499.160004,503.010010,497.279999,499.859985,N/A	,0.000000
2020-12-28,505.609985,506.040009,496.820007,498.950012,N/A	,0.000000
2020-12-29,501.170013,505.350006,499.739990,502.109985,N/A	,0.000000
2020-12-30,503.049988,504.369995,496.329987,497.450012,N/A	,0.000000
2020-12-31,497.989990,500.660004,494.890015,500.119995,N/A	,0.000000
2021-01-04,500.299988,500.790009,476.279999,485.339996,N/A	,0.000000
2021-01-05,485.880005,486.079987,479.200012,485.690002,N/A	,0.000000
2021-01-06,474.100006,475.869995,466.000000,466.309998,N/A	,0.000000
2021-01-07,471.000000,479.640015,468.250000,477.739990,N/A	,0.000000
2021-01-08,480.000000,485.540009,477.209991,485.100006,N/A	,0.000000
2021-01-11,481.989990,482.589996,471.299988,474.239990,N/A	,0.000000
2021-01-12,474.410004,475.000000,464.000000,471.649994,N/A	,0.000000
2021-01-13,472.000000,477.850006,469.299988,472.049988,N/A	,0.000000
2021-01-14,472.410004,473.549988,462.200012,463.269989,N/A	,0.000000
