Investment amount: ,100000.00
Date,Earning
2020-10-21,[01] + $1181.81
2020-10-29,[02] + $3538.23
2020-11-17,[03] + $4780.10
2020-11-23,[04] + $6316.91
2020-12-03,[05] + $8034.06
2020-12-07,[06] + $8767.13
2021-01-06,[07] + $11955.75
2021-01-21,[08] + $13410.02
2021-02-17,[09] + $13969.22
2021-02-26,[10] + $14950.40
2021-03-04,[11] + $15185.34
2021-05-13,[12] + $17228.00
2021-07-08,[13] + $18100.11
2021-10-05,[14] + $19064.54
Invest + Earning,119064.54
