Investment amount: ,100000.00
Date,Earning
2020-11-16,[01] + $3644.90
2020-11-30,[02] + $4430.13
2020-12-21,[03] + $6719.67
2020-12-31,[04] + $7731.67
2021-01-21,[05] + $8592.05
2021-04-28,[06] + $9534.30
2021-06-10,[07] + $12199.06
2021-08-16,[08] + $14064.06
2021-09-03,[09] + $15704.81
2021-09-22,[10] + $16509.09
Invest + Earning,116509.09
