Investment amount: ,100000.00
Date,Earning
2021-03-30,[1] + $5628.58
2021-04-21,[2] + $11526.22
2021-04-30,[3] + $18517.59
2021-05-24,[4] + $23579.46
2021-08-12,[5] + $26363.02
2021-09-24,[6] + $31191.28
Invest + Earning,131191.28
