Investment amount: ,100000.00
Date,Earning
2020-12-07,[1] + $2288.75
2020-12-28,[2] + $5432.71
2021-03-04,[3] + $5913.69
2021-07-01,[4] + $8225.46
2021-08-12,[5] + $9493.54
2021-08-16,[6] + $10713.77
2021-08-27,[7] + $12997.18
2021-09-24,[8] + $16197.08
Invest + Earning,116197.08
