Investment amount: ,100000.00
Date,Earning
2020-12-31,[01] + $2892.30
2021-02-04,[02] + $5246.31
2021-02-09,[03] + $7765.67
2021-02-23,[04] + $12107.09
2021-05-27,[05] + $12567.32
2021-06-14,[06] + $14914.39
2021-06-28,[07] + $15982.77
2021-07-01,[08] + $17708.00
2021-09-10,[09] + $17818.20
2021-09-27,[10] + $18758.02
Invest + Earning,118758.02
