Investment amount: ,100000.00
Date,Earning
2020-10-30,[1] + $408.16
2021-02-04,[2] + $2464.78
2021-02-08,[3] + $3833.78
2021-04-21,[4] + $5338.62
2021-06-10,[5] + $5762.55
2021-08-27,[6] + $6813.04
2021-10-01,[7] + $7231.13
Invest + Earning,107231.13
