Company:,BAC,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Enter Date5:,2011-01-24,Enter price:,14.25,Exit price:,13.92,Profit rate:,-2.315789473684211 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-5.2968754370066815 %,
	,	,	,	,Total cumulative:,,Profit rate:,-13.713552634379619 %,
Exit 5th day:,2011-01-18
		    to
		2011-01-24,Enter price:,15.08,Exit price:,13.92,Profit rate:,-7.6923076923076925 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2011-02-11,	,	,	,	,	,	,
Enter Date1:,2011-02-14,Enter price:,14.78,Exit price:,14.89,Profit rate:,0.7442489851150285 %,
Enter Date2:,2011-02-15,Enter price:,14.8,Exit price:,14.77,Profit rate:,-0.2027027027027104 %,
Enter Date3:,2011-02-16,Enter price:,14.81,Exit price:,14.84,Profit rate:,0.20256583389601188 %,
Enter Date4:,2011-02-17,Enter price:,14.75,Exit price:,14.81,Profit rate:,0.40677966101695257 %,
Enter Date5:,2011-02-18,Enter price:,14.84,Exit price:,14.75,Profit rate:,-0.6064690026954168 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.5444227746298657 %,
	,	,	,	,Total cumulative:,,Profit rate:,-13.169129859749754 %,
Exit 5th day:,2011-02-14
		    to
		2011-02-18,Enter price:,14.78,Exit price:,14.75,Profit rate:,-0.2029769959404558 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2011-06-16,	,	,	,	,	,	,
Enter Date1:,2011-06-17,Enter price:,10.75,Exit price:,10.68,Profit rate:,-0.651162790697677 %,
Enter Date2:,2011-06-20,Enter price:,10.59,Exit price:,10.6,Profit rate:,0.09442870632672132 %,
Enter Date3:,2011-06-21,Enter price:,10.68,Exit price:,10.83,Profit rate:,1.4044943820224753 %,
Enter Date4:,2011-06-22,Enter price:,10.79,Exit price:,10.79,Profit rate:,0.0 %,
Enter Date5:,2011-06-23,Enter price:,10.65,Exit price:,10.71,Profit rate:,0.5633802816901454 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.411140579341665 %,
	,	,	,	,Total cumulative:,,Profit rate:,-11.75798928040809 %,
Exit 5th day:,2011-06-17
		    to
		2011-06-23,Enter price:,10.75,Exit price:,10.71,Profit rate:,-0.37209302325580607 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2011-12-07,	,	,	,	,	,	,
Enter Date1:,2011-12-08,Enter price:,5.84,Exit price:,5.59,Profit rate:,-4.280821917808219 %,
Enter Date2:,2011-12-09,Enter price:,5.67,Exit price:,5.72,Profit rate:,0.8818342151675453 %,
Enter Date3:,2011-12-12,Enter price:,5.59,Exit price:,5.45,Profit rate:,-2.5044722719141266 %,
Enter Date4:,2011-12-13,Enter price:,5.56,Exit price:,5.32,Profit rate:,-4.316546762589916 %,
Enter Date5:,2011-12-14,Enter price:,5.24,Exit price:,5.23,Profit rate:,-0.19083969465648445 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-10.4108464318012 %,
	,	,	,	,Total cumulative:,,Profit rate:,-22.16883571220929 %,
Exit 5th day:,2011-12-08
		    to
		2011-12-14,Enter price:,5.84,Exit price:,5.23,Profit rate:,-10.445205479452046 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,10,,,,,,,
Found Date: ,2012-02-16,	,	,	,	,	,	,
Enter Date1:,2012-02-17,Enter price:,8.04,Exit price:,8.02,Profit rate:,-0.24875621890546734 %,
Enter Date2:,2012-02-21,Enter price:,8.03,Exit price:,8.11,Profit rate:,0.9962640099626411 %,
Enter Date3:,2012-02-22,Enter price:,8.06,Exit price:,7.95,Profit rate:,-1.3647642679900782 %,
Enter Date4:,2012-02-23,Enter price:,7.97,Exit price:,8.02,Profit rate:,0.6273525721455435 %,
Enter Date5:,2012-02-24,Enter price:,8.05,Exit price:,7.88,Profit rate:,-2.1118012422360346 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.1017051470233956 %,
	,	,	,	,Total cumulative:,,Profit rate:,-24.270540859232685 %,
Exit 5th day:,2012-02-17
		    to
		2012-02-24,Enter price:,8.04,Exit price:,7.88,Profit rate:,-1.990049751243772 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,11,,,,,,,
Found Date: ,2012-03-23,	,	,	,	,	,	,
Enter Date1:,2012-03-26,Enter price:,10.01,Exit price:,9.93,Profit rate:,-0.7992007992007999 %,
Enter Date2:,2012-03-27,Enter price:,9.87,Exit price:,9.6,Profit rate:,-2.735562310030391 %,
Enter Date3:,2012-03-28,Enter price:,9.62,Exit price:,9.75,Profit rate:,1.3513513513513595 %,
Enter Date4:,2012-03-29,Enter price:,9.63,Exit price:,9.53,Profit rate:,-1.0384215991692773 %,
Enter Date5:,2012-03-30,Enter price:,9.61,Exit price:,9.57,Profit rate:,-0.41623309053068835 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-3.638066447579797 %,
	,	,	,	,Total cumulative:,,Profit rate:,-27.90860730681248 %,
Exit 5th day:,2012-03-26
		    to
		2012-03-30,Enter price:,10.01,Exit price:,9.57,Profit rate:,-4.395604395604391 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,12,,,,,,,
Found Date: ,2012-05-07,	,	,	,	,	,	,
Enter Date1:,2012-05-08,Enter price:,7.87,Exit price:,7.79,Profit rate:,-1.0165184243964431 %,
Enter Date2:,2012-05-09,Enter price:,7.67,Exit price:,7.73,Profit rate:,0.7822685788787549 %,
Enter Date3:,2012-05-10,Enter price:,7.91,Exit price:,7.7,Profit rate:,-2.654867256637168 %,
Enter Date4:,2012-05-11,Enter price:,7.48,Exit price:,7.55,Profit rate:,0.9358288770053396 %,
Enter Date5:,2012-05-14,Enter price:,7.37,Exit price:,7.35,Profit rate:,-0.2713704206241582 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.2246586457736743 %,
	,	,	,	,Total cumulative:,,Profit rate:,-30.133265952586157 %,
Exit 5th day:,2012-05-08
		    to
		2012-05-14,Enter price:,7.87,Exit price:,7.35,Profit rate:,-6.60736975857688 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,13,,,,,,,
Found Date: ,2012-05-23,	,	,	,	,	,	,
Enter Date1:,2012-05-24,Enter price:,7.26,Exit price:,7.14,Profit rate:,-1.6528925619834725 %,
Enter Date2:,2012-05-25,Enter price:,7.07,Exit price:,7.15,Profit rate:,1.1315417256011324 %,
Enter Date3:,2012-05-29,Enter price:,7.28,Exit price:,7.44,Profit rate:,2.1978021978021998 %,
Enter Date4:,2012-05-30,Enter price:,7.33,Exit price:,7.2,Profit rate:,-1.7735334242837637 %,
Enter Date5:,2012-05-31,Enter price:,7.21,Exit price:,7.35,Profit rate:,1.9417475728155296 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.8446655099516256 %,
	,	,	,	,Total cumulative:,,Profit rate:,-28.288600442634532 %,
Exit 5th day:,2012-05-24
		    to
		2012-05-31,Enter price:,7.26,Exit price:,7.35,Profit rate:,1.2396694214876014 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,14,,,,,,,
Found Date: ,2012-08-10,	,	,	,	,	,	,
Enter Date1:,2012-08-13,Enter price:,7.72,Exit price:,7.72,Profit rate:,0.0 %,
Enter Date2:,2012-08-14,Enter price:,7.78,Exit price:,7.78,Profit rate:,0.0 %,
Enter Date3:,2012-08-15,Enter price:,7.75,Exit price:,7.87,Profit rate:,1.5483870967741948 %,
Enter Date4:,2012-08-16,Enter price:,7.89,Exit price:,7.93,Profit rate:,0.5069708491761729 %,
Enter Date5:,2012-08-17,Enter price:,7.97,Exit price:,8.0,Profit rate:,0.3764115432873306 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.4317694892376984 %,
	,	,	,	,Total cumulative:,,Profit rate:,-25.856830953396834 %,
Exit 5th day:,2012-08-13
		    to
		2012-08-17,Enter price:,7.72,Exit price:,8.0,Profit rate:,3.6269430051813503 %,
,,Win:,5,Lose:,0,,,
======================================================================================
Number: ,15,,,,,,,
Found Date: ,2012-09-13,	,	,	,	,	,	,
Enter Date1:,2012-09-14,Enter price:,9.6,Exit price:,9.55,Profit rate:,-0.5208333333333223 %,
Enter Date2:,2012-09-17,Enter price:,9.39,Exit price:,9.3,Profit rate:,-0.9584664536741198 %,
Enter Date3:,2012-09-18,Enter price:,9.16,Exit price:,9.23,Profit rate:,0.7641921397379944 %,
Enter Date4:,2012-09-19,Enter price:,9.33,Exit price:,9.29,Profit rate:,-0.4287245444801814 %,
Enter Date5:,2012-09-20,Enter price:,9.14,Exit price:,9.19,Profit rate:,0.5470459518599445 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.5967862398896845 %,
	,	,	,	,Total cumulative:,,Profit rate:,-26.45361719328652 %,
Exit 5th day:,2012-09-14
		    to
		2012-09-20,Enter price:,9.6,Exit price:,9.19,Profit rate:,-4.270833333333335 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,16,,,,,,,
Found Date: ,2012-12-20,	,	,	,	,	,	,
Enter Date1:,2012-12-21,Enter price:,11.2,Exit price:,11.29,Profit rate:,0.8035714285714273 %,
Enter Date2:,2012-12-24,Enter price:,11.27,Exit price:,11.25,Profit rate:,-0.17746228926352772 %,
Enter Date3:,2012-12-26,Enter price:,11.29,Exit price:,11.54,Profit rate:,2.2143489813994686 %,
Enter Date4:,2012-12-27,Enter price:,11.66,Exit price:,11.47,Profit rate:,-1.629502572898795 %,
Enter Date5:,2012-12-28,Enter price:,11.32,Exit price:,11.36,Profit rate:,0.3533568904593564 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.5643124382679294 %,
