Company:,COST,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-01-15,	,	,	,	,	,	,
Enter Date1:,2009-01-16,Enter price:,49.310001,Exit price:,48.799999,Profit rate:,-1.0342770019412493 %,
Enter Date2:,2009-01-20,Enter price:,49.169998,Exit price:,47.220001,Profit rate:,-3.965826884922786 %,
Enter Date3:,2009-01-21,Enter price:,47.259998,Exit price:,47.900002,Profit rate:,1.3542192701743185 %,
Enter Date4:,2009-01-22,Enter price:,47.549999,Exit price:,47.450001,Profit rate:,-0.21030074049002476 %,
Enter Date5:,2009-01-23,Enter price:,46.900002,Exit price:,46.970001,Profit rate:,0.14925159278245406 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-3.7069337643972875 %,
	,	,	,	,Total cumulative:,,Profit rate:,-3.7069337643972875 %,
Exit 5th day:,2009-01-16
		    to
		2009-01-23,Enter price:,49.310001,Exit price:,46.970001,Profit rate:,-4.745487634445588 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-07-06,	,	,	,	,	,	,
Enter Date1:,2009-07-07,Enter price:,45.209999,Exit price:,44.540001,Profit rate:,-1.4819686237993652 %,
Enter Date2:,2009-07-08,Enter price:,44.830002,Exit price:,46.02,Profit rate:,2.6544678717614216 %,
Enter Date3:,2009-07-09,Enter price:,46.400002,Exit price:,45.5,Profit rate:,-1.9396593991526137 %,
Enter Date4:,2009-07-10,Enter price:,45.299999,Exit price:,44.970001,Profit rate:,-0.7284724222620761 %,
Enter Date5:,2009-07-13,Enter price:,44.919998,Exit price:,44.970001,Profit rate:,0.11131567726250521 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.3843168961901282 %,
	,	,	,	,Total cumulative:,,Profit rate:,-5.0912506605874155 %,
Exit 5th day:,2009-07-07
		    to
		2009-07-13,Enter price:,45.209999,Exit price:,44.970001,Profit rate:,-0.5308515932504221 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-07-14,	,	,	,	,	,	,
Enter Date1:,2009-07-15,Enter price:,45.400002,Exit price:,46.900002,Profit rate:,3.3039646121601494 %,
Enter Date2:,2009-07-16,Enter price:,46.73,Exit price:,47.490002,Profit rate:,1.6263684998930026 %,
Enter Date3:,2009-07-17,Enter price:,47.369999,Exit price:,47.48,Profit rate:,0.23221659768242112 %,
Enter Date4:,2009-07-20,Enter price:,47.5,Exit price:,48.470001,Profit rate:,2.04210736842106 %,
Enter Date5:,2009-07-21,Enter price:,48.290001,Exit price:,48.380001,Profit rate:,0.1863739866147516 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,7.391031064771384 %,
	,	,	,	,Total cumulative:,,Profit rate:,2.2997804041839682 %,
Exit 5th day:,2009-07-15
		    to
		2009-07-21,Enter price:,45.400002,Exit price:,48.380001,Profit rate:,6.563874160181754 %,
,,Win:,5,Lose:,0,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-09-14,	,	,	,	,	,	,
Enter Date1:,2009-09-15,Enter price:,56.779999,Exit price:,56.82,Profit rate:,0.07044910303715175 %,
Enter Date2:,2009-09-16,Enter price:,56.82,Exit price:,57.700001,Profit rate:,1.5487521999296023 %,
Enter Date3:,2009-09-17,Enter price:,57.860001,Exit price:,57.959999,Profit rate:,0.17282751170364907 %,
Enter Date4:,2009-09-18,Enter price:,58.200001,Exit price:,57.549999,Profit rate:,-1.116841905208903 %,
Enter Date5:,2009-09-21,Enter price:,57.610001,Exit price:,58.580002,Profit rate:,1.683737169176587 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.358924078638087 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.658704482822055 %,
Exit 5th day:,2009-09-15
		    to
		2009-09-21,Enter price:,56.779999,Exit price:,58.580002,Profit rate:,3.1701356669625937 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,5,,,,,,,
Found Date: ,2009-10-13,	,	,	,	,	,	,
Enter Date1:,2009-10-14,Enter price:,59.0,Exit price:,58.77,Profit rate:,-0.389830508474571 %,
Enter Date2:,2009-10-15,Enter price:,58.389999,Exit price:,58.970001,Profit rate:,0.9933242163610934 %,
Enter Date3:,2009-10-16,Enter price:,58.849998,Exit price:,58.48,Profit rate:,-0.628713700211175 %,
Enter Date4:,2009-10-19,Enter price:,58.82,Exit price:,59.23,Profit rate:,0.6970418225093448 %,
Enter Date5:,2009-10-20,Enter price:,59.259998,Exit price:,59.09,Profit rate:,-0.28686804883118566 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.38495378135350644 %,
	,	,	,	,Total cumulative:,,Profit rate:,5.043658264175562 %,
Exit 5th day:,2009-10-14
		    to
		2009-10-20,Enter price:,59.0,Exit price:,59.09,Profit rate:,0.15254237288136172 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2010-02-25,	,	,	,	,	,	,
Enter Date1:,2010-02-26,Enter price:,61.360001,Exit price:,60.970001,Profit rate:,-0.6355932099805433 %,
Enter Date2:,2010-03-01,Enter price:,61.0,Exit price:,61.650002,Profit rate:,1.065577049180329 %,
Enter Date3:,2010-03-02,Enter price:,62.119999,Exit price:,61.380001,Profit rate:,-1.1912395555576232 %,
Enter Date4:,2010-03-03,Enter price:,59.75,Exit price:,60.68,Profit rate:,1.5564853556485352 %,
Enter Date5:,2010-03-04,Enter price:,60.75,Exit price:,60.799999,Profit rate:,0.08230288065843569 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.8775325199491334 %,
	,	,	,	,Total cumulative:,,Profit rate:,5.921190784124695 %,
Exit 5th day:,2010-02-26
		    to
		2010-03-04,Enter price:,61.360001,Exit price:,60.799999,Profit rate:,-0.9126499199372523 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2010-05-04,	,	,	,	,	,	,
Enter Date1:,2010-05-05,Enter price:,59.75,Exit price:,60.360001,Profit rate:,1.0209221757322124 %,
Enter Date2:,2010-05-06,Enter price:,58.950001,Exit price:,58.029999,Profit rate:,-1.5606479803113213 %,
Enter Date3:,2010-05-07,Enter price:,57.860001,Exit price:,57.310001,Profit rate:,-0.950570325776519 %,
