Company:,JPM,	,	,	,	,	,	,
Case:,Bullish,	,	,	,	,	,	,
Activity:,Buy,	,	,	,	,	,	,
======================================================================================
Enter Date5:,2010-12-06,Enter price:,39.48,Exit price:,39.900002,Profit rate:,1.0638348530901818 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,5.0228001841533985 %,
	,	,	,	,Total cumulative:,,Profit rate:,7.559661219125401 %,
Exit 5th day:,2010-11-30
		    to
		2010-12-06,Enter price:,37.490002,Exit price:,39.900002,Profit rate:,6.428380558635351 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2010-12-27,	,	,	,	,	,	,
Enter Date1:,2010-12-28,Enter price:,42.700001,Exit price:,42.610001,Profit rate:,-0.21077282878752956 %,
Enter Date2:,2010-12-29,Enter price:,42.580002,Exit price:,42.360001,Profit rate:,-0.516676819320026 %,
Enter Date3:,2010-12-30,Enter price:,42.310001,Exit price:,42.23,Profit rate:,-0.1890829546423383 %,
Enter Date4:,2010-12-31,Enter price:,42.110001,Exit price:,42.419998,Profit rate:,0.7361600395117606 %,
Enter Date5:,2011-01-03,Enter price:,43.0,Exit price:,43.580002,Profit rate:,1.3488418604651171 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.168469297226984 %,
	,	,	,	,Total cumulative:,,Profit rate:,8.728130516352385 %,
Exit 5th day:,2010-12-28
		    to
		2011-01-03,Enter price:,42.700001,Exit price:,43.580002,Profit rate:,2.0608922233983087 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2011-05-17,	,	,	,	,	,	,
Enter Date1:,2011-05-18,Enter price:,43.720001,Exit price:,44.080002,Profit rate:,0.8234240433800468 %,
Enter Date2:,2011-05-19,Enter price:,44.32,Exit price:,44.0,Profit rate:,-0.7220216606498201 %,
Enter Date3:,2011-05-20,Enter price:,43.830002,Exit price:,43.130001,Profit rate:,-1.5970818344931865 %,
Enter Date4:,2011-05-23,Enter price:,42.400002,Exit price:,42.549999,Profit rate:,0.3537664927468613 %,
Enter Date5:,2011-05-24,Enter price:,42.77,Exit price:,42.34,Profit rate:,-1.0053776011222813 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.14729056013838 %,
	,	,	,	,Total cumulative:,,Profit rate:,6.580839956214005 %,
Exit 5th day:,2011-05-18
		    to
		2011-05-24,Enter price:,43.720001,Exit price:,42.34,Profit rate:,-3.1564523523226815 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2011-06-10,	,	,	,	,	,	,
Enter Date1:,2011-06-13,Enter price:,41.290001,Exit price:,41.669998,Profit rate:,0.9203124020268322 %,
Enter Date2:,2011-06-14,Enter price:,42.130001,Exit price:,41.610001,Profit rate:,-1.2342748342208754 %,
Enter Date3:,2011-06-15,Enter price:,41.02,Exit price:,40.68,Profit rate:,-0.8288639687957176 %,
Enter Date4:,2011-06-16,Enter price:,40.630001,Exit price:,40.360001,Profit rate:,-0.6645335795093954 %,
Enter Date5:,2011-06-17,Enter price:,40.849998,Exit price:,40.799999,Profit rate:,-0.12239657881990516 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.9297565593190613 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.651083396894943 %,
Exit 5th day:,2011-06-13
		    to
