Investment amount: ,100000.00
Date,Earning
2020-11-06,[1] + $3205.22
2020-11-18,[2] + $2925.47
2020-11-30,[3] + $3984.60
2021-04-07,[4] + $5952.94
2021-08-19,[5] + $7605.22
2021-09-03,[6] + $10101.95
Invest + Earning,110101.95
