Investment amount: ,100000.00
Date,Earning
2020-12-08,[1] + $953.40
2020-12-11,[2] + $2496.17
2021-05-06,[3] + $3860.29
2021-07-01,[4] + $4626.89
2021-08-19,[5] + $7555.24
Invest + Earning,107555.24
